etichetă_joc,total_încercări,cuvânt_găsit,secvență_încercări
2792,6,DESHAM,B R D E A M
2793,10,HORC,B E Â H A T Ț I M O
2794,8,ELABORATOR,A C U O P E L B
2795,3,OBIELELE,B I L
2796,11,STRĂLUCIȚI,A O U L I P T E S Ă Ț
2797,8,REZONAMENT,D M I R Z O A T
2798,8,PERIUVULAR,B M P R I V L A
2799,7,ESTRADISTICĂ,E T R A D C Ă
2800,19,HARANCE,B C T L Ț R Ă Z G I H V F M P S Â O E
2801,8,AUIASCĂ,C E L T N U I S
2802,9,NAZAL,B T C F G H R N Z
2803,2,TĂU,I U
2804,13,MEGIEÂESC,B D Z J L M Â T F P G I C
2805,7,TORTONIANĂ,B S T R I A Ă
2806,2,XIV-XVI,I V
2807,13,TĂLĂÂMAN,C M U P R V I S T E N L A
2808,4,CAMFORAR,C A F O
2809,5,BÂZÂIELII,A B Â Z E
2810,18,ZORITUL,A C G B N P R O V D U Ț M E T S F Z
2811,11,USCĂTURELEI,A U T O C N P S Ă L I
2812,8,RETRANSMISIUNE,E T A N M I L U
2813,6,USCĂTURELE,S C T R E L
2814,10,SILFIDE,F D Â S C Ă X A V E
2815,4,SOBORÎ,B L R Î
2816,16,CHIROMANTĂ,O G F L U Ț I E N D R P H M T Ă
2817,16,SAMANIE,A L R O C Â U D I T G H E Ț Ă S
2818,19,PEGMATICĂ,B D N I L Z Ț R O H S T C Ă Â E U P G
2819,9,PATOMIMII,A N R M E T C U O
2820,9,UMILIRI,F G I Ț M B T P R
2821,14,PECINGINOS,A C R D F L M N E U I S T P
2822,17,PĂRESIMILOR,A B N F C D S R L O T Â V Z P Ă M
2823,2,LOBA,B A
2824,9,ECRANEZ,H I L U O R A N Z
2825,16,MUNCULIȚĂ,A C E S G N I D R O T L Z U Â Ț
2826,10,NEIMPORTANȚI,P I T Ă C M O R A Ț
2827,19,SAÂEURI,B L M N D R E C O I T F G Z H Ț S P Â
2828,11,SIMFIZARI,C E L M B Ț N F Z A R
2829,9,PATOLOGII,A N O L C H M P I
2830,12,POLONE,B C R H J L T S M D P N
2831,6,ZÂNIÂOAREI,N I O A R E
2832,16,ALTITUDINII,B T Ă G N I S R C E X O M P U D
2833,6,ITINERARIULUI,T N E R U L
2834,12,CUSTODIE,A B C L D I P S R N T U
2835,15,TERMALITĂȚII,A G T M E N O S V C P I Z L Ț
2836,12,ARGĂȚEL,A R I B D J M P Ă Z Ț E
2837,14,INCESTUL,A E Ț Z Ă B O I U M R N T L
2838,10,HARUSPICIUL,A B U Z M S P I C L
2839,18,TÂNJITORI,B Ă U C E A O T Ț F G L M Â R D S J
2840,19,POLEMIZEZE,B C G M L E D H N S P R V A F Ă U T Z
2841,9,TRIUMFA,A C E O X R U I F
2842,14,DEVENI,C N T F G L A P Â R S Ă V I
2843,7,SUPRAAPRECIAT,S U P R E I T
2844,10,ZARAFIȚEI,A R T C M P O Z Ț E
2845,13,DEÂERTIFICĂRI,A U E N D M I S R O Â C Ă
2846,3,CRACAUER,A U E
2847,12,VINIFICATOR,A G P E R S I D F C T N
2848,10,BRONHOTOMII,A N C R E I O P T M
2849,7,CINEPROIECTOARE,C I N P R T A
2850,7,TANGONETE,C O E R M T A
2851,10,PRELUDIILE,A L G F O P Ă R U D
2852,6,ABOMINABILE,A B M I N E
2853,16,SEMĂNĂTURI,A L O B N I E C U F Â Ă P D S T
2854,4,EFLUVIILE,E U V I
2855,4,BABETĂ,A C E T
2856,14,SÂMBUROASĂ,E D F I L T Ă N M R A Â B U
2857,16,PARAFERNE,B L Z C R T G Â J M E D I Ț P F
2858,6,FOTOTEODOLITE,T C E D L I
2859,7,OLĂRITULUI,C E O Ă R T U
2860,9,COMPOSTEZ,C L P R M A S E Z
2861,5,UTILIZABILI,U T L A B
2862,4,SILVICOLI,S V C O
2863,12,POVESTIRI,B C A L R I E Z N P S T
2864,10,URCIORUÂ,B C A R D G P S U I
2865,8,DE-VINĂ,A I C S P V N Ă
2866,18,VERSTE,A O C I U D V F H J P Z S M L N G T
2867,5,ROTAMETRE,O M B T A
2868,4,CIFRAJ,C F R A
2869,13,VIRGINAL,A P R O C D E F I M T V L
2870,6,AUTOMATULUI,A N U O M I
2871,10,CENSUAR,R O B Ț T C P N S U
2872,5,ALKOTNI,A L T N I
2873,14,REACTIVITATE,S A D L N B C P I U H G T V
2874,9,PONEGRITOARE,C P N D E G I T A
2875,6,REȚELEI,B D R I C Ț
2876,10,IZOFONĂ,N D R S Z C G Ă T F
2877,8,TREIERĂ,C G S T R A Z Ă
2878,3,MIDIA,C D A
2879,20,CRIPALCĂ,B T C O D F G L N M V R E Z H U X P S Ă
2880,8,FREMĂTĂTORUL,R E M T O A U L
2881,15,INTROIECȚII,A M N D L G I C Ă T P E U F Ț
2882,8,PRISPIÂOAREI,C S P U R Â A E
2883,5,PALPITE,A L I Ă E
2884,8,FRATRICIZI,E I M F A C D Z
2885,13,ETALONERI,B C L U R E T G V H N Ț O
2886,8,CIUNGESC,H I A U T G E S
2887,8,TEURGIEI,A U I S E H Ă G
2888,15,SOTE,B C G Ă D F H I J L N R S A E
2889,16,PĂGÂNESC,C N I U L T D R G B M A Â S Ț E
2890,16,NICHELEZ,A M N C H T G P S B D R O Î I L
2891,4,ZOONOMII,Z F N M
2892,16,FOSILIZARE,B N D R H C T L I M G O Z S P F
2893,4,EFEBIILE,Ă E F L
2894,11,SCAFANDRII,C P T R E V S M F N D
2895,19,LIMPEZELI,B C E R D G J L A U S F P T N O Â Ț Z
2896,18,SEMIGLUMEȚ,A M B N S T C O D R F E P Ț L V Î U
2897,6,ATINSE,A E I M R N
2898,6,PRECREÂTINE,P R C T I N
2899,14,LETOPISEȚ,A N T E S Ă D F O L M C R Ț
2900,10,TAHIGRAFIE,A M N B T G F E O H
2901,9,ABSORBITĂ,A O R N I E T V Ă
2902,10,REFECAȚI,A B D I L U E T F Ț
2903,20,CRISOIDINE,A L I F M P R T H O V E Â B U Ă G D Ț S
2904,5,LICENȚIERI,L C N Ț R
2905,15,REMORCAȚIE,R O G C L D S H M Z T F P Ț I
2906,8,INTERCORELAȚIEI,I N T R C O L A
2907,6,ACICULIFERI,A C U L F R
2908,11,CUTĂRII,A C O L N I D B U E Ă
2909,19,PODIRE,A B L N E U S Ă C O G H M T P Ț Z V R
2910,11,PERSONIFICANTĂ,C A M P E S O I F T Ă
2911,4,DUANT,T E A N
2912,3,GRAV,B G R
2913,16,BISTROUL,A B O N D M P R I T C E X G Ț S
2914,10,DECLAMAȚIEI,A E O P D C M T U Ț
2915,8,BUGL,A B Ă F M R Â L
2916,15,PULVERIZAT,A D N Z O C S M R I U B P L V
2917,16,VOLUMICE,A B C I N T R O Â D F Ă U H M V
2918,7,HAMBURGĂR,F H M B U G Ă
2919,15,VINDEREII,B C O S D A J M R E G T Ț Z V
2920,18,MĂRTURISANIE,A M P C O D F H N R Ț V L G Ă T U S
2921,6,MARMORAT,A P C M J T
2922,9,CRÂMPIȚEI,A R O C Ă E Â M Ț
2923,14,SPORIT,A C O M N P V B H T F L Y S
2924,9,CLAVUSURI,B H S T C L V R I
2925,19,REBAT,D F L R C B O U N M G H J X I P S Ă E
2926,3,EXIG,R X I
2927,14,ÂIRLĂU,B U A Ă F M N P Â C E V H I
2928,13,GINERI,A B U J L E I H O D V Z N
2929,12,PESCUITOARE,A R O M D C U L I V P S
2930,15,PNEUMOLOGIC,A D R E O N M T S L Z G F U P
2931,14,PATISIERE,R G C H I D E L Ț V T N O S
2932,20,HARAKI,B E T C Ă F M V Â D O G J H I U N Z P K
2933,10,BRAÂOVEANĂ,A B P H T Â V E N Ă
2934,8,INTERNETULUI,H N E L C R A U
2935,8,REBONIFICĂRII,M R E O N F C Ă
2936,17,ERPETOLOGĂ,A C U D O P S N R I H V M E G X L
2937,16,SMULGE,A D N Z B U C F G H T Î I O S M
2938,14,COMORAȚIA,A B S O Ț L N T U C E D F M
2939,14,SCLEREDEM,A N T C H O P R F E X U L D
2940,9,OBSTRUCȚIONIÂTI,B S T R U C Ț N Â
2941,12,CONDENSATOR,A L N I C O M P R Z D S
2942,14,COLEUS,A P C Ă B N S O G D F T H U
2943,10,MICROBETONIERĂ,A C O S I B E T N Ă
2944,13,ZDRENȚUIASCĂ,A I F O Ă P Z R E N Ț U S
2945,9,CUANTIZAREA,C A T I F S Z R E
2946,9,EXPERIMENTAȚIEI,E X P R M N A B Ț
2947,11,FANARIOTISM,A C L N T E F O P S M
2948,6,TESTICULELE,E N S I C U
2949,14,CLIMATOGRAMĂ,A B S O C D E P I M T U G Ă
2950,9,AUTOELOGIERE,A N U B E L G I R
2951,13,STÂRNITOARE,A C E L R Z N T F O M P Â
2952,6,COLABORARE,R A Ț C E L
2953,9,CLIMATOLOGĂ,C I E N M A O G Ă
2954,22,ÂERTEAȚĂ,B C O U D Z H I R T F G J L M S N E Ț V P Â
2955,11,PODURA,A E C O Ă G I L M P U
2956,7,COMPENSANT,C O M P E A T
2957,13,ALGRAFIEI,B C U D L Ț M O I S R G F
2958,13,SCULPTATE,C E T N V O L I R Â S Z U
2959,16,PĂGÂNESC,A H N D R L S T I E O G J U Ă Â
2960,15,EXAMETRU,A C D N R O B L I E G P S X U
2961,3,RETRAGERE,T A G
2962,16,MURGULEȚUL,A N B I R C O U Ț M Ă D J V S L
2963,9,ÂTIUTOARE,A N I P R E C T U
2964,21,SURFILEZ,A R O S T B L G C M D Ă N I P Ț Z H V Â F
2965,14,CONVENTURI,A B C E P L M N T D R Â O V
2966,13,CĂPITĂNAÂ,A C H D M N R B P O S Ă Â
2967,10,EXTROSPECTIVE,A E X N I R O P C V
2968,10,RÂDEAM,A U Ă L O R I N Â E
2969,16,CÂMPULUNGENI,A L M B F R N U T E S V O P Â G
2970,8,CERCUIELI,C N R I S D M L
2971,8,BASTARDĂRI,B S R D E F Ă I
2972,5,ZBUCIUMUL,B C I M L
2973,8,LIMPEDE,B O C D A L I P
2974,6,CAPREOLA,A C U P R L
2975,17,OPIOMANE,A G R L I Ț O C B Ă F T N S Z U M
2976,9,INTERÂCOLARĂ,A L E N O I Â C Ă
2977,5,RĂBDĂTOR,O A Ă B T
2978,11,ÂARAMPOII,B C R M L N P I Z Ă Â
2979,7,TELANGIECTAZII,T E L N G I C
2980,13,INFECTATĂ,A L F O T M G S R E D I C
2981,5,INIȚIATORII,Ț A T O R
2982,13,OCTOPETAL,B C E N R D F S I U O T P
2983,9,SECERII,B T C R P M Ț D S
2984,12,PARALOGIE,A B D L O I S C R N F P
2985,5,CERTĂM,C A R T M
2986,8,ÎM-PRĂÂTIERE,S Î M R Ă Â T E
2987,8,VÂNTURĂ-LEMNE,V Â N U Ă L E M
2988,8,PSEUDONEVROPTERE,P S U D N V R T
2989,11,ANTEPUNERE,A L T I F V Î E B P U
2990,6,ÎNTINATE,A T R I F Î
2991,14,CĂRĂÂEL,A C O E T I U Ă H M Ț P V L
2992,9,CAÂCAVALURI,A U T C R N P Â I
2993,11,TRECENTIST,A D M S L U T R Ă C I
2994,6,BOUL-DOMNULUI,O L D M N I
2995,11,DOAMNE,B C I T L M Ă R N D E
2996,9,COLINERGICĂ,Â F L I N E R G Ă
2997,8,NEUROINFECȚIE,C R P N U I F Ț
2998,8,CIÂMEGIU,A B U T C I M G
2999,6,ORALE,A B E Ă P R
3000,6,DETRACTEAZĂ,D R A C Z Ă
3001,16,COPLEÂEASCĂ,A D R B O T C N G M Â S F I L P
3002,5,COLECȚIILOR,C E Ț I R
3003,11,OFTALMORAGIEI,A N U O I E F L P R G
3004,12,GELIVAȚIA,B C D F L I E N Z R G V
3005,12,OBLICE,A O I Ă U G M B T P H E
3006,10,SCRUMIEREI,A U S T C N G O R M
3007,6,PIERSICIU,B S E R P U
3008,23,CUVENI,A C H T R M B I P O Ă D G F U Â S K Î L J Z V
3009,14,CODRI,A B U Ă C E G N M L P R Â O
3010,7,ADEVERITORI,A D R S I T O
3011,5,CADRILUL,C D R I U
3012,8,BASCHETBALISTĂ,A S C H E L I Ă
3013,7,GLORIFICATORI,C L I F T O G
3014,11,FORMULÂND,A C I O S F R M U N D
3015,18,POTGALȚ,C U F H L O I B Â Ă E N S X G R P Ț
3016,7,CUTREMURĂTOR,C T E M L Ă O
3017,11,FORAMENE,A B L V C D X F O N R
3018,6,TRAUMATIZAT,T N U M I Z
3019,7,FLANELOGRAFE,A U F L N O R
3020,12,CAIELE,A D R B Ă C P S T Z M L
3021,7,URTICACEELOR,L I C E O U T
3022,9,DRAPERIILE,A D T O C R E U I
3023,10,FOLIATE,A B C L Z R E T U O
3024,11,MAXILIFORM,B C L F E Z O R M T X
3025,7,FOTOTELEGRAFIEI,O T L G R A I
3026,11,PERFOREZE,A P I C H M E F Ă J Z
3027,6,NEREFERENȚIALE,R F Ț I A L
3028,5,ADERENȚE,A R N T Ț
3029,13,RAITĂ,A B C I M Z E S O U Â H T
3030,11,ENCICLOPEDISMUL,B E L I M N A C O P D
3031,8,DIAFRAGMAȚI,A B N F R G M Ț
3032,14,ÎNÂIRĂ,A C G T E U I S V O D Ă Î Â
3033,18,OBLĂDUITOR,A L C M R E H B Z P Ț O Ă D S J Î T
3034,15,COMUNIZANTĂ,A B L D F M N Ă R T Z O S H U
3035,15,PĂHĂRNICIA,A E P O B N T F H U S V R L Ă
3036,10,ASMUTE,A D R Ă S U L I Â E
3037,12,TRIBALIÂTI,C G P S U A Z E T R B L
3038,10,SPOITOREASĂ,I C L R O T E M S Ă
3039,12,FRIDERIC,A N O Ă R I E L S U T C
3040,11,LAMELELE,B L I C T G N Z F S M
3041,16,DĂNGĂNEASCĂ,A B T O D V P R Ă Ț U I N S Z G
3042,7,SILICVIFORM,L C V F O R M
3043,13,EÂUĂRII,C T D J M U L N G O Â Ă R
3044,5,TÂRÂTURI,R O U Ă I
3045,12,STRĂFORMA,C U Ț T I H O V S F M A
3046,11,ANTROPOMORFIZEZ,C P L N T R E O F I Z
3047,12,SEMINARISTICO,D E R O V M I L G S T C
3048,9,FACTORIZĂRII,A L T Ă Ț F O R Z
3049,7,AMORTISMENTE,A O R I S E N
3050,4,RĂZMIRIȚI,Ă Z M Ț
3051,7,ORĂDEANĂ,A M R D N P O
3052,11,ÎNTRUCHIPEZE,C A R D Î N T U I P Z
3053,4,SUPEREXPRES,S U R X
3054,10,SOCIALJURIDIC,S O I L T P J U R D
3055,11,STIMULENȚILOR,P O I G S T M U E R Ț
3056,9,PUNCTAȚIUNE,A E R O Ț I U P T
3057,16,MOSCĂLEÂTE,A P I O S Ă N R Z D U E G Â M T
3058,10,ELECTROMOBIL,A N V B T O E L C I
3059,7,RÂBNIȚENI,E I C O Â B Ț
3060,10,GHIOZDANE,A N S B F G H O Z E
3061,15,MARTIRĂ,B Ă C E U I G L M V D F N Ț T
3062,8,ÎNCUȚITA,M P U I N A C T
3063,13,SEMIOTIC,B A C F I N G L Z R S E T
3064,19,MUMETAL,G R S T O B E Â C Ț D F I N J Ă L X M
3065,8,SATURNISMULUI,C T U R N I M L
3066,13,TRANSFIGUREZ,C E S O L G R T I Ă N U Z
3067,10,LĂRGUȚE,B D H L R I T U Ț E
3068,19,ÎNVINGĂTORI,A L P S C I G U M D E F T N O H V Â Î
3069,7,PAPARUGEI,A R U D N G I
3070,11,PRIMĂRESEI,B R U D G H O P I M Ă
3071,5,HOGE,A B D H O
3072,3,SUBPOPU,S B O
3073,12,AEROPATIE,A C R L G I N E X D M T
3074,15,ROSTRUL,B C G I M R N T E Â A S Ă P U
3075,16,ALBIGENZI,A B D U C I Ț R S T V G F Z Ă L
3076,13,MODERNIST,A C D V L G M O R T H E N
3077,7,UTILIZATORUL,C U T Z A O R
3078,6,ALEXANDRINE,L E X D R I
3079,16,COTNARI,A B F I Ă L P U E S C H D G O T
3080,10,CÂRTI,A T B U O Ă C P V Â
3081,8,SPEC-TACULOS,C A I P E T U L
3082,9,MINIMIZARE,A H T L R I C N Z
3083,20,REPĂRȚEASCĂ,B Â D S C O Z M V F I J G N P L R Ă T Ț
3084,8,SLUJBAÂ,E L U B I R A Â
3085,7,GIROSTATICE,A E R O I C G
3086,16,PARANTEZ,B C L S O Ț I E Z G H V P R F T
3087,11,RECHEAMĂ,B T O C E M Z I N H Ă
3088,13,PLOÂNIȚĂRII,A L D N F T E S O Â Ț Ă R
3089,10,SCOT,A E I P S Ț L R Â T
3090,6,AEROFOTOGRAFII,E R O F T G
3091,6,DARULUI,A B E R U I
3092,9,PRĂDALNICI,R M D G P L N I C
3093,12,CHEMOTERAPIA,A L N P Î R E U I O H M
3094,3,FRONTON,R O T
3095,4,PAM,B F J P
3096,7,FLACID,B E F R L C I
3097,5,REBARBATIVE,E B A T I
3098,13,ESTROPIEZ,A N R T D C I L E S Ă Â Z
3099,11,VENECTAZIA,A D L Z Ă E I F T S C
3100,7,VITRIFIABILE,V T R F A B L
3101,8,OCCIDENTALIZEZE,C I D N T A L Z
3102,8,GENȚIANEI,C M P T G E Ț A
3103,7,PROBENBUCH,P R O E N C H
3104,7,AERODINAMICI,A E R O D M C
3105,9,NEOAMENII,A C D I Ă E X Â N
3106,10,CRISTAL-DE-STÂNCĂ,C R I A L D E Â N Ă
3107,9,RIZOTOM,A C D H M N R I Z
3108,7,MOLDOVALAHILOR,M L D A H I R
3109,16,VIZUALIZEZ,C U R L B S T G I M O F N D Z V
3110,15,SINERGIA,B O C Â D P S F L M A H R N E
3111,6,LANDURI,A C N D R I
3112,9,ÎNCHEIETURII,M N T I O C H U R
3113,15,TOMBEREAU,A C H L N G O I E M P F U Ă B
3114,12,CTITORIILE,A C H P F G R Ț T O D L
3115,10,ARÂI,A B C F E L M N P R
3116,10,ÎMPĂIATE,M B I N P L A F Ă E
3117,10,SECRETATĂ,A G C U E L O R P Ă
3118,13,IMPERTURBABILĂ,A D B I E M N C R O P T U
3119,11,MATOLE,A C I M P R B Z O H T
3120,6,PICNO,A V E I C N
3121,10,CRONOGRAFIC,A L H O S R E N G I
3122,8,RUSOFON,A R T D N P U S
3123,7,CLONICE,I A B L Ă N E
3124,8,ÎMPOTRIVITOAREI,Î M P T I V A E
3125,6,COLUMBOFILII,C L U B F I
3126,8,GALVANIZARE,A L B V N Z R E
3127,12,LOGISTICIAN,B M T E I R U O G S C N
3128,8,AMONIACALĂ,M L G R O N I C
3129,5,ENDOCARD,N O C A R
3130,18,ZDRELIȚI,A C O E G B U I N D T P S H Z Ă K Ț
3131,9,BALANSEZE,A B E P N Ț C I Z
3132,10,SCALABILITATEA,A L C Â M P T R B I
3133,9,IDROPICOS,B A N T S O R D P
3134,19,ULISE,A C F X G H L R T B D M P U N V Â O S
3135,6,BUSTIERE,B U R I M S
3136,11,CHEMATĂ,A N C D F I L Â M T Ă
3137,7,GERMENUL,B R C G M N U
3138,5,EMANAU,R E N T U
3139,7,CASMOFIL,A N C S O I L
3140,9,NĂZUINȚEI,B Â D E L N Ă U Ț
3141,13,GAZĂRI,A U B C E D G L M N P I Ă
3142,2,IODICI,D C
3143,21,IMAGINEZE,C N H V L R D P X F G T U Î O B S I Â M Z
3144,2,VERVENE,E R
3145,11,PRĂFĂRIILE,A E F U B O M N Ă I L
3146,18,POGOARE,B O N C L U D S T F I X Â G M R J P
3147,10,COLABORAȚIONISTE,C O A B R Ț I N S E
3148,4,AFGANĂ,A N E Ă
3149,6,TOLERANTUL,O L E R N U
3150,9,MANGIFERA,C L G Z M N I E R
3151,7,BARABANCĂ,A B Z C O P N
3152,13,COMANDAMENTE,B L N A P C E I R F M Â D
3153,10,INSULTĂTOARE,A R B N S U E L O Ă
3154,11,HEPATOTOXINĂ,C E R H T D P A I N Ă
3155,10,CIUBUCĂRIA,L I N O S R P U B Ă
3156,12,PRECARITĂȚII,A B C T U S L R E D P Ă
3157,7,ACANTE,A T Ă O S U E
3158,7,INADAPTATION,M N A D E P T
3159,9,CARDIOMEGALIE,A E O F C D I M L
3160,18,PAICI,B N R S I E U D F G Â H Ă J L M T P
3161,5,ROTISERIEI,A O T I S
3162,12,FAULTEAZĂ,B C G H M R T E F U Z Ă
3163,3,APARARE,M P E
3164,2,TINZII,T N
3165,7,RÂCÂIRII,F G M S V R C
3166,10,STENOGRAFIAT,A L T R O N Z S F I
3167,16,CITIND,A L P S B O R Ă C E U Â I G M T
3168,15,DÂRZI,A E I M O L U N Ă T Â J B S Z
3169,18,AUTOPSIEZ,B C O L D F U R M N G Ă E I V P T Z
3170,17,SIMBIOTICI,A C P E L T Â D G I N U R S Ă H B
3171,18,DISCIPOLĂ,A M N R T U B C I E D Z H V P Ț S Ă
3172,14,FRIPȚI,A B C Z D M Ț E G S O P Â F
3173,13,BACILIFORMĂ,A C T R H D F L E Î B O M
3174,20,SACRALIZEZ,A B S O L N T R U C Ț F H M G P Ă D Â Z
3175,11,CENTIMĂ,A F N I O P R S Ă E M
3176,4,VEÂTEJEA,V Â T A
3177,19,BRITANICI,A U G O M T I S E F D N Ă P Â Z J L B
3178,15,INDEMNIZABILĂ,A U E N O H I F S R C M Z B L
3179,15,SLUGĂ,A E I O U N B C R Ț P F G V S
3180,8,IODOPSINEI,M N G T O D P E
3181,11,HIPOGASTRE,A B E R C F I T H P G
3182,8,DIATRIBE,D G R E C Ă T B
3183,17,PALEI,B C H L E F N U D Â G R K M O T P
3184,7,COLHOZNICISM,C L H Z N I S
3185,9,LEPTOMENINGE,D P I G N T A L O
3186,9,BRÂNZĂRIILE,A Z C R E L Â N Ă
3187,7,LEGALIZĂRII,E A I T Z Ă R
3188,15,MASOCHISTĂ,A B S L G N P C M I E F D H T
3189,14,RESIGNEAZĂ,B S C N Z U D G I V R F P Ă
3190,11,MORISCI,B E H O R N P T L M S
3191,11,BURȚILE,A C Ț I O P T B N U L
3192,15,MISOGAMIA,B C R L P M I D H N E G U Ț S
3193,10,PUTORII,A G L O T S E M R U
3194,12,GEAMBAÂII,A D S L Ă C R E T G Â I
3195,10,VIPT,C L R S Z F E A V I
3196,5,BOTOAÂE,B A S Â E
3197,8,REJUDECAȚI,A B D E C R Ț I
3198,6,CENTESIMO,C N T S I M
3199,6,IREALITĂȚII,E A L T Ă Ț
3200,12,PRĂPĂSTENIA,A D O C P E R I U T Ț Ă
3201,13,TODORUSE,B R N C L Ă T E M Â F D U
3202,5,CAPAUCE,B C P Ă E
3203,11,ÎMBUÂONA,A U R F E I S Î B Â N
3204,13,DACTILOGRAME,A N C O G U D T I F M Ă E
3205,4,CĂLÂU,B L Ă C
3206,6,POPPERIANĂ,O E R I N Ă
3207,11,COLET,A S V B O C F M I G L
3208,10,ÎNFĂÂÂND,A C E T G R Î N F Ă
3209,9,MELASEI,A C O T E F I U L
3210,9,NIȚĂ,A R Â E I O U V Ț
3211,10,SÂRGUINCIOS,A L C R O G B S Â U
3212,3,ACICOL,A O L
3213,3,TELEGELEI,T G I
3214,5,PĂIANJEN,A I N E Ă
3215,10,AUTONOMIÂTI,A T M S U I E J Ă Â
3216,10,CONTRAEXPERTIZE,I N E A D O T X P Z
3217,11,HORTENSIA,B L N T E A C V H R I
3218,7,COTROPITORII,C H D T A O R
3219,4,ORIÂICÂȚI,O R C Ț
3220,18,REAMENAJATE,A B D E I L U G C R Z F O H P T Ă J
3221,9,RESORBABILI,B O M S R I C D E
3222,12,VERSUIȚI,A N C T L D E R M V U Ț
3223,17,NATURE,B R Ă L I V C D N E H Â J M S Z T
3224,14,DONATISMULUI,B C M P E R U N I L T A Z D
3225,22,ZDOHNIȚI,A C R T L M O S B U E V D F P Â Ț G J Ă Z H
3226,10,STRÂMTOREZE,A S M L R Â E Ă I Z
3227,8,OLECĂIRE,C H F O Ț L I R
3228,8,REFUTABILI,A B T L E C F U
3229,10,MEGALOCRANIE,A E R B T M G L C I
3230,9,MONTANISM,G E I L T R S N O
3231,5,NĂZUIRII,B N Ă U R
3232,11,CONVINSĂ,A T O E I F Ă U V G S
3233,10,HURUITURI,A C M T N O U D E I
3234,10,FETIÂURILOR,A U O S B F E I Â L
3235,9,RESPECTABIL,B R A C U S P T I
3236,9,IUDEOFOBĂ,A U I L H E F B Ă
3237,8,EXCEDATĂ,C D A R Ă I S T
3238,21,XILOFAG,B C T D G I J U Â Z L N E S M H V R P F X
3239,3,PIÂ-PIÂ,F P I
3240,7,SCĂRAR,A Ț O S I P R
3241,11,GAULEITER,B I R N S D P G A U T
3242,12,SORGINȚII,A P R O E D Ă I C M S Ț
3243,9,TRUPUÂOR,E I S O P R A Ă U
3244,7,NITRAGIN,E U I T R O A
3245,16,SUPLICIAZĂ,A M L O B C I T E N J R S U D Z
3246,13,FRISONANTĂ,B C F N T E S M R O D Ț Ă
3247,11,DENDRITIC,B L C A F N T Z D U I
3248,7,VASILISCU,P E V A L C U
3249,8,ODORIZA,A B M O E C D I
3250,13,FLATEZE,A L I C R G N U O Â T M Z
3251,6,STATORNI-CI,T A O R N I
3252,8,VERBALIZAȚI,B I Z E P V L Ț
3253,11,ZĂBUNELE,A L I U M Ă R T Ț Z N
3254,13,DRĂGOSTIȚI,A B R E D F P O Ă Z S T Ț
3255,4,BAZIDIAL,B A I L
3256,12,CHESTORIANĂ,C E A G L N Ă R U S T O
3257,10,ZEFLIE,C D O R I Â G T Z L
3258,9,FUNGOIZI,B D F U L V N O Z
3259,16,IMPIEGAȚII,B L I T N R P C O V U D S M G Ț
3260,8,DESTROIENIRI,D E C P I O N T
3261,8,FEDERALIZA,D R E N I G F Z
3262,13,HĂUIELI,A H T C R D O X F G Ă U L
3263,10,ÎNVELEÂTE,A N T H S Î Ț I V Â
3264,17,HORÂAF,B C I L R E Ț N S F P M T A D V H
3265,8,FLOARE-DE-MA-ZĂRE,F L O A R D M Ă
3266,5,TRĂSNĂI,R S C N I
3267,6,INEBRANLABIL,A C I E B L
3268,5,IMINENȚIALE,M N Ț A L
3269,20,PĂDUREAȚĂ,B F M S C P T N I R Â L O V E D G Ă Z Ț
3270,13,SUBFAMILIE,D H Z L E R Î Ă S U F A M
3271,8,VALVULITE,A O U R E Ă I T
3272,7,PAINJENIT,G P A J E Â T
3273,7,CRIN-DE-PĂDURE,C R I N P Ă U
3274,17,COPAIER,A F V B Ă C H D Ț G J M O N T E P
3275,4,IN-STRUI,S T R U
3276,13,OSTINATO,C E R L I T Â B O Ă D Z S
3277,6,UMBLI,A P U I O B
3278,8,NESISTEMATIC,A T I V E F S C
3279,4,DON,B G L N
3280,18,SOVÂRVARIȚEI,C M R G B P H O N L I T S X Z V Â Ț
3281,13,MESIANISMULUI,A B D M O T R I F C N E S
3282,5,UPERCUTA,P R C T A
3283,11,FACTORIZEZ,B R I C N T O L Z M E
3284,8,PREDESTINARE,P R C S T I N A
3285,13,VĂCSUIA,B I M Ă A N R P S T E Ț V
3286,13,MIRIDOV,A C G L I E N T R O S U V
3287,7,DESPRIPONEA,D S R I O N A
3288,6,HUZDUPA,U R Z D Ă A
3289,13,VESPERALI,D S R A T Ț H N I Ă C V L
3290,7,DEGRINGOLADE,G R I N O L A
3291,4,DIJMUIRI,D J U R
3292,6,ROTACIZAT,A U I O C R
3293,7,DISTORSIOMETRU,D I T O R M U
3294,9,DEZESPERANT,E R O N T I D Z P
3295,11,HĂINĂRIA,A B F L M I Ă C D G H
3296,5,REÎNTREMAT,E Î N M A
3297,10,SCEPTRIFORM,A O P E I Â S T F M
3298,10,BRAD,A C S Z E I O U T D
3299,14,PATROLOGICĂ,A E T O N D G R Ă F U H L P
3300,8,INEVITABILITATEA,C I N S E V T B
3301,21,NĂZUINȚE,B C D G I R L N U Ț H M S V P T O A Â F Z
3302,6,PĂUN,A I Ă R L N
3303,13,ÎNȚOȚONARE,C L E G I R U Î O V D S Ț
3304,8,EUTANASIC,C V D E U T S I
3305,14,LANUGINOASĂ,A F M R B C T O I P U N S L
